Time[s],5651::Alt_Heading::Heading[Degrees],,Time[s],5651::mixed_position::Lat[Degrees],,Time[s],5651::mixed_position::Lon[Degrees]
3.253290,354.0400000,,3.253520,40.0099162,,3.253520,116.3802392
3.263280,354.0000000,,3.263510,40.0099175,,3.263510,116.3802390
3.274430,353.9600000,,3.274660,40.0099188,,3.274660,116.3802388
3.283700,353.9200000,,3.283930,40.0099200,,3.283930,116.3802387
3.293730,353.8900000,,3.293950,40.0099213,,3.293950,116.3802385
3.303300,353.8500000,,3.303520,40.0099226,,3.303520,116.3802383
3.313310,353.8200000,,3.313530,40.0099239,,3.313530,116.3802381
3.323300,353.7900000,,3.323530,40.0099251,,3.323530,116.3802379
3.333300,353.7500000,,3.333530,40.0099264,,3.333530,116.3802378
3.343300,353.7200000,,3.343530,40.0099277,,3.343530,116.3802376
3.353290,353.6800000,,3.353520,40.0099290,,3.353520,116.3802374
3.363300,353.6500000,,3.363530,40.0099302,,3.363530,116.3802372
3.374410,353.6200000,,3.374640,40.0099315,,3.374640,116.3802370
3.383290,353.5900000,,3.383530,40.0099328,,3.383530,116.3802368
3.393300,353.5500000,,3.393530,40.0099341,,3.393530,116.3802367
3.403290,353.5200000,,3.403520,40.0099353,,3.403520,116.3802365
3.413280,353.4800000,,3.413510,40.0099366,,3.413510,116.3802363
3.423280,353.4500000,,3.423510,40.0099379,,3.423510,116.3802361
3.433280,353.4200000,,3.433510,40.0099392,,3.433510,116.3802359
3.443280,353.3900000,,3.443510,40.0099404,,3.443510,116.3802357
3.453280,353.3500000,,3.453510,40.0099417,,3.453510,116.3802355
3.463290,353.3200000,,3.463520,40.0099430,,3.463520,116.3802353
3.474420,353.2800000,,3.474640,40.0099443,,3.474640,116.3802351
3.483640,353.2500000,,3.483870,40.0099455,,3.483870,116.3802349
3.493760,353.2200000,,3.493990,40.0099468,,3.493990,116.3802347
3.503260,353.1800000,,3.503490,40.0099481,,3.503490,116.3802345
3.513270,353.1500000,,3.513500,40.0099494,,3.513500,116.3802343
3.523260,353.1100000,,3.523490,40.0099506,,3.523490,116.3802341
3.533260,353.0800000,,3.533490,40.0099519,,3.533490,116.3802339
3.543250,353.0400000,,3.543480,40.0099532,,3.543480,116.3802337
3.553260,353.0100000,,3.553490,40.0099545,,3.553490,116.3802335
3.563250,352.9700000,,3.563480,40.0099558,,3.563480,116.3802333
3.574380,352.9400000,,3.574610,40.0099570,,3.574610,116.3802331
3.583250,352.9100000,,3.583480,40.0099583,,3.583480,116.3802329
3.593260,352.8700000,,3.593490,40.0099596,,3.593490,116.3802327
3.603250,352.8400000,,3.603470,40.0099609,,3.603470,116.3802324
3.613250,352.8100000,,3.613480,40.0099622,,3.613480,116.3802322
3.623260,352.7700000,,3.623490,40.0099634,,3.623490,116.3802320
3.633240,352.7400000,,3.633470,40.0099647,,3.633470,116.3802318
3.643250,352.7100000,,3.643480,40.0099660,,3.643480,116.3802316
3.653230,352.6800000,,3.653460,40.0099673,,3.653460,116.3802314
3.663240,352.6400000,,3.663470,40.0099686,,3.663470,116.3802312
3.674380,352.6100000,,3.674610,40.0099698,,3.674610,116.3802309
3.683610,352.5700000,,3.683840,40.0099711,,3.683840,116.3802307
3.693680,352.5400000,,3.693910,40.0099724,,3.693910,116.3802305
3.703240,352.5000000,,3.703460,40.0099737,,3.703460,116.3802303
3.713250,352.4700000,,3.713480,40.0099750,,3.713480,116.3802301
3.723240,352.4300000,,3.723460,40.0099762,,3.723460,116.3802298
3.733230,352.4000000,,3.733460,40.0099775,,3.733460,116.3802296
3.743230,352.3600000,,3.743460,40.0099788,,3.743460,116.3802294
3.753220,352.3300000,,3.753450,40.0099801,,3.753450,116.3802292
3.763230,352.2900000,,3.763460,40.0099814,,3.763460,116.3802289
3.774360,352.2600000,,3.774590,40.0099827,,3.774590,116.3802287
3.783220,352.2200000,,3.783450,40.0099839,,3.783450,116.3802285
3.793230,352.1900000,,3.793460,40.0099852,,3.793460,116.3802282
3.803220,352.1500000,,3.803450,40.0099865,,3.803450,116.3802280
3.813230,352.1200000,,3.813460,40.0099878,,3.813460,116.3802278
3.823220,352.0900000,,3.823450,40.0099891,,3.823450,116.3802275
3.833230,352.0500000,,3.833460,40.0099903,,3.833460,116.3802273
3.843220,352.0100000,,3.843450,40.0099916,,3.843450,116.3802271
3.853220,351.9800000,,3.853450,40.0099929,,3.853450,116.3802268
3.863210,351.9500000,,3.863440,40.0099942,,3.863440,116.3802266
3.874350,351.9200000,,3.874570,40.0099955,,3.874570,116.3802264
3.883640,351.8800000,,3.883870,40.0099968,,3.883870,116.3802261
